‰‡Ú‡;»ÕÕ ÔÎ‡Ú.; ¡ ;—‡Î¸‰Ó
01.01.2015;266018736;18210909030080000110;-380,5
01.01.2015;266018736;18210101011010000110;-2,13
01.01.2015;266018736;18210909010010000110;-806,87
01.01.2015;266010737;18210907032040000110;-34,46
01.01.2015;266010737;18210301000010000110;-361,6
01.01.2015;266010737;18210101012020000110;-2415,36
01.01.2015;266010737;18210901020040000110;-488,88
01.01.2015;266010737;18210904030010000110;-2192,01
01.01.2015;266010737;18210907052040000110;-18,12
01.01.2015;266018743;18210101012020000110;-0,14
01.01.2015;266018743;18210101011010000110;-0,01
01.01.2015;266015904;18210909020070000110;-95,57
01.01.2015;266015904;18210909030080000110;-938,95
01.01.2015;266023038;18210909010010000110;-3159,51
01.01.2015;266023038;18210909030080000110;-1192,52
01.01.2015;266017411;18210907032040000110;-3,74
01.01.2015;266017411;18210606032040000110;-1,93
01.01.2015;266017411;18210602010020000110;-1120
01.01.2015;266017404;18210602010020000110;-7717,02
